Using good policy maddpg and adv policy maddpg
Uncertainty type is:  None ; Uncertainty level is:  1.0
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -219.93654014487498, time: 73.833
steps: 49975, episodes: 2000, mean episode reward: -241.66024843583094, time: 91.81
steps: 74975, episodes: 3000, mean episode reward: -192.52090043408472, time: 110.172
steps: 99975, episodes: 4000, mean episode reward: -178.7333447435503, time: 126.916
steps: 124975, episodes: 5000, mean episode reward: -171.10223837552928, time: 126.245
steps: 149975, episodes: 6000, mean episode reward: -168.96111406871327, time: 127.078
steps: 174975, episodes: 7000, mean episode reward: -166.2789250876159, time: 126.918
steps: 199975, episodes: 8000, mean episode reward: -163.94091384570117, time: 127.071
steps: 224975, episodes: 9000, mean episode reward: -161.410543800312, time: 127.447
steps: 249975, episodes: 10000, mean episode reward: -161.40111390192877, time: 127.54
steps: 274975, episodes: 11000, mean episode reward: -160.84595819297368, time: 126.814
steps: 299975, episodes: 12000, mean episode reward: -160.09791015279316, time: 128.058
steps: 324975, episodes: 13000, mean episode reward: -158.0896188132853, time: 127.451
steps: 349975, episodes: 14000, mean episode reward: -157.14895604916876, time: 127.246
steps: 374975, episodes: 15000, mean episode reward: -155.7320277992147, time: 126.792
steps: 399975, episodes: 16000, mean episode reward: -156.51749645963844, time: 127.382
steps: 424975, episodes: 17000, mean episode reward: -154.1297194376419, time: 127.409
steps: 449975, episodes: 18000, mean episode reward: -154.1789814204549, time: 126.879
steps: 474975, episodes: 19000, mean episode reward: -153.80965697234174, time: 126.591
steps: 499975, episodes: 20000, mean episode reward: -152.68308882195416, time: 127.63
steps: 524975, episodes: 21000, mean episode reward: -151.9222367627187, time: 127.196
steps: 549975, episodes: 22000, mean episode reward: -152.52188080581988, time: 127.29
steps: 574975, episodes: 23000, mean episode reward: -152.51622414338775, time: 127.694
steps: 599975, episodes: 24000, mean episode reward: -151.06578797153423, time: 126.613
steps: 624975, episodes: 25000, mean episode reward: -151.14250493902654, time: 127.095
steps: 649975, episodes: 26000, mean episode reward: -151.2015746608595, time: 127.471
steps: 674975, episodes: 27000, mean episode reward: -149.74490259598835, time: 126.905
steps: 699975, episodes: 28000, mean episode reward: -149.52074104199437, time: 127.218
steps: 724975, episodes: 29000, mean episode reward: -151.12934626454236, time: 126.918
steps: 749975, episodes: 30000, mean episode reward: -149.71648072161852, time: 127.034
steps: 774975, episodes: 31000, mean episode reward: -149.63208523414883, time: 126.424
steps: 799975, episodes: 32000, mean episode reward: -148.1492754606219, time: 126.925
steps: 824975, episodes: 33000, mean episode reward: -149.84368717608587, time: 126.948
steps: 849975, episodes: 34000, mean episode reward: -148.17997623192335, time: 127.177
steps: 874975, episodes: 35000, mean episode reward: -146.85190728801263, time: 127.473
steps: 899975, episodes: 36000, mean episode reward: -149.03613344672962, time: 126.825
steps: 924975, episodes: 37000, mean episode reward: -147.9121688580001, time: 127.192
steps: 949975, episodes: 38000, mean episode reward: -147.24173650254235, time: 127.276
steps: 974975, episodes: 39000, mean episode reward: -147.93092615391396, time: 127.021
steps: 999975, episodes: 40000, mean episode reward: -145.9630728132082, time: 126.865
steps: 1024975, episodes: 41000, mean episode reward: -146.71364731707325, time: 126.6
steps: 1049975, episodes: 42000, mean episode reward: -146.05745234507754, time: 126.938
steps: 1074975, episodes: 43000, mean episode reward: -147.08581499311134, time: 127.175
steps: 1099975, episodes: 44000, mean episode reward: -146.69346454601563, time: 126.65
steps: 1124975, episodes: 45000, mean episode reward: -145.92607725174548, time: 126.826
steps: 1149975, episodes: 46000, mean episode reward: -145.83627568944337, time: 127.143
steps: 1174975, episodes: 47000, mean episode reward: -144.56038859386396, time: 127.139
steps: 1199975, episodes: 48000, mean episode reward: -145.53476492729382, time: 127.06
steps: 1224975, episodes: 49000, mean episode reward: -144.75273614887269, time: 127.463
steps: 1249975, episodes: 50000, mean episode reward: -144.78201705284957, time: 126.978
steps: 1274975, episodes: 51000, mean episode reward: -143.55353457278972, time: 126.746
steps: 1299975, episodes: 52000, mean episode reward: -144.53461910414288, time: 126.971
steps: 1324975, episodes: 53000, mean episode reward: -143.91272520585642, time: 126.319
steps: 1349975, episodes: 54000, mean episode reward: -143.24270575913263, time: 126.573
steps: 1374975, episodes: 55000, mean episode reward: -143.11924149164994, time: 127.06
steps: 1399975, episodes: 56000, mean episode reward: -142.82311248188492, time: 127.25
steps: 1424975, episodes: 57000, mean episode reward: -140.9518561514893, time: 126.684
steps: 1449975, episodes: 58000, mean episode reward: -141.94408935881435, time: 126.782
steps: 1474975, episodes: 59000, mean episode reward: -141.97184251768695, time: 126.677
steps: 1499975, episodes: 60000, mean episode reward: -140.77224424214097, time: 122.967
...Finished total of 60001 episodes.
