Using good policy maddpg and adv policy maddpg
Uncertainty type is:  Action ; Uncertainty level is:  1.0
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -223.10792033429945, time: 73.394
steps: 49975, episodes: 2000, mean episode reward: -240.76377404769534, time: 97.387
steps: 74975, episodes: 3000, mean episode reward: -201.98030380988143, time: 97.106
steps: 99975, episodes: 4000, mean episode reward: -190.6344289351211, time: 97.598
steps: 124975, episodes: 5000, mean episode reward: -184.90243180434632, time: 117.137
steps: 149975, episodes: 6000, mean episode reward: -181.24459430907694, time: 138.098
steps: 174975, episodes: 7000, mean episode reward: -178.56814184269302, time: 137.679
steps: 199975, episodes: 8000, mean episode reward: -173.71567503474242, time: 137.013
steps: 224975, episodes: 9000, mean episode reward: -171.28970240089413, time: 138.277
steps: 249975, episodes: 10000, mean episode reward: -170.7654568596705, time: 137.455
steps: 274975, episodes: 11000, mean episode reward: -170.20396517799688, time: 135.849
steps: 299975, episodes: 12000, mean episode reward: -168.6273806468232, time: 136.422
steps: 324975, episodes: 13000, mean episode reward: -170.43252161730916, time: 136.382
steps: 349975, episodes: 14000, mean episode reward: -167.36525390661183, time: 136.186
steps: 374975, episodes: 15000, mean episode reward: -166.1722934779289, time: 136.857
steps: 399975, episodes: 16000, mean episode reward: -166.59176894364825, time: 135.793
steps: 424975, episodes: 17000, mean episode reward: -165.34201737607697, time: 136.23
steps: 449975, episodes: 18000, mean episode reward: -164.20737893624892, time: 136.37
steps: 474975, episodes: 19000, mean episode reward: -162.60773914555568, time: 136.885
steps: 499975, episodes: 20000, mean episode reward: -163.19923458242783, time: 136.98
steps: 524975, episodes: 21000, mean episode reward: -162.06249803294025, time: 136.496
steps: 549975, episodes: 22000, mean episode reward: -161.89401102066228, time: 136.464
steps: 574975, episodes: 23000, mean episode reward: -162.07907371579645, time: 135.552
steps: 599975, episodes: 24000, mean episode reward: -160.66956419966925, time: 137.505
steps: 624975, episodes: 25000, mean episode reward: -161.05953345682707, time: 137.617
steps: 649975, episodes: 26000, mean episode reward: -160.12295674814936, time: 137.405
steps: 674975, episodes: 27000, mean episode reward: -160.7335431499292, time: 137.065
steps: 699975, episodes: 28000, mean episode reward: -159.00474219024775, time: 136.13
steps: 724975, episodes: 29000, mean episode reward: -158.5707783193155, time: 136.046
steps: 749975, episodes: 30000, mean episode reward: -158.98277320148807, time: 137.762
steps: 774975, episodes: 31000, mean episode reward: -158.20709049557905, time: 136.801
steps: 799975, episodes: 32000, mean episode reward: -157.09269696656932, time: 137.792
steps: 824975, episodes: 33000, mean episode reward: -156.39249779877574, time: 136.934
steps: 849975, episodes: 34000, mean episode reward: -155.1884260332632, time: 136.946
steps: 874975, episodes: 35000, mean episode reward: -156.31457222885103, time: 137.092
steps: 899975, episodes: 36000, mean episode reward: -155.64019889378932, time: 136.313
steps: 924975, episodes: 37000, mean episode reward: -154.78542162273797, time: 136.582
steps: 949975, episodes: 38000, mean episode reward: -154.30522329654272, time: 137.965
steps: 974975, episodes: 39000, mean episode reward: -154.19759968949634, time: 136.297
steps: 999975, episodes: 40000, mean episode reward: -152.7643591528244, time: 137.062
steps: 1024975, episodes: 41000, mean episode reward: -152.98437472627117, time: 137.592
steps: 1049975, episodes: 42000, mean episode reward: -152.90348457779197, time: 137.433
steps: 1074975, episodes: 43000, mean episode reward: -155.05585824129417, time: 137.765
steps: 1099975, episodes: 44000, mean episode reward: -156.41516535476146, time: 137.481
steps: 1124975, episodes: 45000, mean episode reward: -155.08362420826703, time: 137.866
steps: 1149975, episodes: 46000, mean episode reward: -154.405349525636, time: 137.823
steps: 1174975, episodes: 47000, mean episode reward: -154.83179169725867, time: 137.205
steps: 1199975, episodes: 48000, mean episode reward: -153.15408730781962, time: 138.156
steps: 1224975, episodes: 49000, mean episode reward: -152.83342866302414, time: 136.751
steps: 1249975, episodes: 50000, mean episode reward: -149.82663221746498, time: 137.377
steps: 1274975, episodes: 51000, mean episode reward: -150.70482140555453, time: 136.652
steps: 1299975, episodes: 52000, mean episode reward: -150.37465794421436, time: 136.948
steps: 1324975, episodes: 53000, mean episode reward: -149.8955398619641, time: 137.536
steps: 1349975, episodes: 54000, mean episode reward: -149.1509794341023, time: 138.101
steps: 1374975, episodes: 55000, mean episode reward: -148.6899879461414, time: 137.438
steps: 1399975, episodes: 56000, mean episode reward: -147.99744671581337, time: 136.579
steps: 1424975, episodes: 57000, mean episode reward: -147.66041830644198, time: 136.746
steps: 1449975, episodes: 58000, mean episode reward: -147.93852882851306, time: 136.674
steps: 1474975, episodes: 59000, mean episode reward: -148.63720172873988, time: 139.001
steps: 1499975, episodes: 60000, mean episode reward: -147.21786207959212, time: 135.445
...Finished total of 60001 episodes.
