Using good policy maddpg and adv policy maddpg
Uncertainty type is:  Action ; Uncertainty level is:  0.5
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -223.49383529734234, time: 92.245
steps: 49975, episodes: 2000, mean episode reward: -242.85981997539358, time: 118.226
steps: 74975, episodes: 3000, mean episode reward: -200.19234556582956, time: 117.706
steps: 99975, episodes: 4000, mean episode reward: -195.60940195802377, time: 118.393
steps: 124975, episodes: 5000, mean episode reward: -184.89863366443907, time: 118.826
steps: 149975, episodes: 6000, mean episode reward: -177.61788118810648, time: 119.412
steps: 174975, episodes: 7000, mean episode reward: -176.81143705630856, time: 119.672
steps: 199975, episodes: 8000, mean episode reward: -171.10642640447344, time: 119.455
steps: 224975, episodes: 9000, mean episode reward: -170.34417076869082, time: 119.976
steps: 249975, episodes: 10000, mean episode reward: -167.98839238884113, time: 120.046
steps: 274975, episodes: 11000, mean episode reward: -166.3386509370709, time: 119.803
steps: 299975, episodes: 12000, mean episode reward: -166.39301744248095, time: 120.606
steps: 324975, episodes: 13000, mean episode reward: -165.10138143434546, time: 119.585
steps: 349975, episodes: 14000, mean episode reward: -164.22355380314832, time: 119.871
steps: 374975, episodes: 15000, mean episode reward: -164.33049996022012, time: 120.976
steps: 399975, episodes: 16000, mean episode reward: -161.73886718727474, time: 118.948
steps: 424975, episodes: 17000, mean episode reward: -161.54144964554925, time: 119.186
steps: 449975, episodes: 18000, mean episode reward: -160.36470507033923, time: 119.171
steps: 474975, episodes: 19000, mean episode reward: -161.05528828478774, time: 119.974
steps: 499975, episodes: 20000, mean episode reward: -159.42422496037705, time: 118.561
steps: 524975, episodes: 21000, mean episode reward: -157.7170641226526, time: 118.754
steps: 549975, episodes: 22000, mean episode reward: -158.07181503394304, time: 119.661
steps: 574975, episodes: 23000, mean episode reward: -157.95991139074548, time: 119.701
steps: 599975, episodes: 24000, mean episode reward: -157.73847470582567, time: 120.183
steps: 624975, episodes: 25000, mean episode reward: -155.0777001138608, time: 120.049
steps: 649975, episodes: 26000, mean episode reward: -156.37387967754057, time: 119.458
steps: 674975, episodes: 27000, mean episode reward: -155.80994653746725, time: 120.465
steps: 699975, episodes: 28000, mean episode reward: -156.18194168604896, time: 119.495
steps: 724975, episodes: 29000, mean episode reward: -155.97628429069434, time: 120.496
steps: 749975, episodes: 30000, mean episode reward: -153.59582328155102, time: 121.23
steps: 774975, episodes: 31000, mean episode reward: -152.21139368725383, time: 119.464
steps: 799975, episodes: 32000, mean episode reward: -153.87274210658722, time: 119.753
steps: 824975, episodes: 33000, mean episode reward: -153.07437655543734, time: 118.867
steps: 849975, episodes: 34000, mean episode reward: -153.7628732568458, time: 120.297
steps: 874975, episodes: 35000, mean episode reward: -151.86316844534565, time: 120.075
steps: 899975, episodes: 36000, mean episode reward: -149.4529126847054, time: 120.48
steps: 924975, episodes: 37000, mean episode reward: -150.03507950956654, time: 119.922
steps: 949975, episodes: 38000, mean episode reward: -150.14550157026957, time: 121.57
steps: 974975, episodes: 39000, mean episode reward: -149.0414295225888, time: 119.243
steps: 999975, episodes: 40000, mean episode reward: -149.64393185816638, time: 119.798
steps: 1024975, episodes: 41000, mean episode reward: -149.2933829307853, time: 119.893
steps: 1049975, episodes: 42000, mean episode reward: -149.3795871078153, time: 119.472
steps: 1074975, episodes: 43000, mean episode reward: -149.78804025261692, time: 119.056
steps: 1099975, episodes: 44000, mean episode reward: -148.51463297580315, time: 118.99
steps: 1124975, episodes: 45000, mean episode reward: -147.86060549831618, time: 119.497
steps: 1149975, episodes: 46000, mean episode reward: -148.00617671173626, time: 119.401
steps: 1174975, episodes: 47000, mean episode reward: -149.71505700676343, time: 119.366
steps: 1199975, episodes: 48000, mean episode reward: -147.13954375939252, time: 121.928
steps: 1224975, episodes: 49000, mean episode reward: -148.19783662251044, time: 120.041
steps: 1249975, episodes: 50000, mean episode reward: -147.46373895577608, time: 118.935
steps: 1274975, episodes: 51000, mean episode reward: -146.79174309204157, time: 119.534
steps: 1299975, episodes: 52000, mean episode reward: -147.35146805325482, time: 119.255
steps: 1324975, episodes: 53000, mean episode reward: -146.56608365698938, time: 118.03
steps: 1349975, episodes: 54000, mean episode reward: -146.69420281527144, time: 119.023
steps: 1374975, episodes: 55000, mean episode reward: -145.87131806040108, time: 119.053
steps: 1399975, episodes: 56000, mean episode reward: -146.523707735618, time: 119.064
steps: 1424975, episodes: 57000, mean episode reward: -146.8525016397766, time: 120.608
steps: 1449975, episodes: 58000, mean episode reward: -147.22036852630157, time: 120.193
steps: 1474975, episodes: 59000, mean episode reward: -147.10437568764883, time: 122.48
steps: 1499975, episodes: 60000, mean episode reward: -146.4852170061769, time: 120.036
...Finished total of 60001 episodes.
