Using good policy maddpg and adv policy maddpg
Uncertainty type is:  None ; Uncertainty level is:  1.0
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -220.34674288364994, time: 70.345
steps: 49975, episodes: 2000, mean episode reward: -254.8370319662058, time: 91.864
steps: 74975, episodes: 3000, mean episode reward: -193.39320927167986, time: 103.756
steps: 99975, episodes: 4000, mean episode reward: -182.60357580908507, time: 127.78
steps: 124975, episodes: 5000, mean episode reward: -174.87827998877964, time: 126.724
steps: 149975, episodes: 6000, mean episode reward: -173.1690904808293, time: 126.918
steps: 174975, episodes: 7000, mean episode reward: -169.5500794227549, time: 127.36
steps: 199975, episodes: 8000, mean episode reward: -166.96427421178902, time: 127.637
steps: 224975, episodes: 9000, mean episode reward: -165.38671243215407, time: 126.209
steps: 249975, episodes: 10000, mean episode reward: -163.4056033181293, time: 126.133
steps: 274975, episodes: 11000, mean episode reward: -160.92632245545036, time: 127.076
steps: 299975, episodes: 12000, mean episode reward: -159.08684188723257, time: 127.152
steps: 324975, episodes: 13000, mean episode reward: -156.53419048193317, time: 126.607
steps: 349975, episodes: 14000, mean episode reward: -156.53816636829015, time: 126.628
steps: 374975, episodes: 15000, mean episode reward: -155.55454944696757, time: 126.677
steps: 399975, episodes: 16000, mean episode reward: -155.64678547360893, time: 126.819
steps: 424975, episodes: 17000, mean episode reward: -153.57151266232074, time: 126.728
steps: 449975, episodes: 18000, mean episode reward: -153.13526418430277, time: 126.898
steps: 474975, episodes: 19000, mean episode reward: -152.46484763738067, time: 126.799
steps: 499975, episodes: 20000, mean episode reward: -152.99062365703162, time: 126.743
steps: 524975, episodes: 21000, mean episode reward: -152.24482995997656, time: 126.847
steps: 549975, episodes: 22000, mean episode reward: -153.61764627454696, time: 126.646
steps: 574975, episodes: 23000, mean episode reward: -151.4595906729384, time: 127.87
steps: 599975, episodes: 24000, mean episode reward: -150.5718641986333, time: 126.832
steps: 624975, episodes: 25000, mean episode reward: -148.8384397316777, time: 126.815
steps: 649975, episodes: 26000, mean episode reward: -149.81307374841424, time: 126.297
steps: 674975, episodes: 27000, mean episode reward: -148.86551913312042, time: 126.247
steps: 699975, episodes: 28000, mean episode reward: -151.04599027360766, time: 126.727
steps: 724975, episodes: 29000, mean episode reward: -148.6268983935487, time: 126.243
steps: 749975, episodes: 30000, mean episode reward: -148.8472762316391, time: 126.382
steps: 774975, episodes: 31000, mean episode reward: -147.72284296280463, time: 126.515
steps: 799975, episodes: 32000, mean episode reward: -148.38176501218072, time: 125.939
steps: 824975, episodes: 33000, mean episode reward: -147.3673051025892, time: 125.986
steps: 849975, episodes: 34000, mean episode reward: -147.96560999471484, time: 126.533
steps: 874975, episodes: 35000, mean episode reward: -148.45452830657777, time: 127.673
steps: 899975, episodes: 36000, mean episode reward: -147.18927010479075, time: 126.695
steps: 924975, episodes: 37000, mean episode reward: -146.61398714615135, time: 126.556
steps: 949975, episodes: 38000, mean episode reward: -147.33265493028998, time: 127.637
steps: 974975, episodes: 39000, mean episode reward: -146.4839266528106, time: 127.382
steps: 999975, episodes: 40000, mean episode reward: -147.38093556838433, time: 126.362
steps: 1024975, episodes: 41000, mean episode reward: -146.59004628945095, time: 125.936
steps: 1049975, episodes: 42000, mean episode reward: -148.19058246315686, time: 126.633
steps: 1074975, episodes: 43000, mean episode reward: -145.58130648139812, time: 126.923
steps: 1099975, episodes: 44000, mean episode reward: -145.58909981347247, time: 126.281
steps: 1124975, episodes: 45000, mean episode reward: -145.2166131113157, time: 126.471
steps: 1149975, episodes: 46000, mean episode reward: -144.52502689204633, time: 126.766
steps: 1174975, episodes: 47000, mean episode reward: -145.2637389411453, time: 126.972
steps: 1199975, episodes: 48000, mean episode reward: -144.96777500739012, time: 126.505
steps: 1224975, episodes: 49000, mean episode reward: -143.76683381449612, time: 126.737
steps: 1249975, episodes: 50000, mean episode reward: -143.79615227224195, time: 126.667
steps: 1274975, episodes: 51000, mean episode reward: -143.12192922101224, time: 127.492
steps: 1299975, episodes: 52000, mean episode reward: -144.2262862754141, time: 126.668
steps: 1324975, episodes: 53000, mean episode reward: -141.3389326038411, time: 126.753
steps: 1349975, episodes: 54000, mean episode reward: -141.61749754546463, time: 126.741
steps: 1374975, episodes: 55000, mean episode reward: -140.0870905417202, time: 127.046
steps: 1399975, episodes: 56000, mean episode reward: -139.84880512354547, time: 127.155
steps: 1424975, episodes: 57000, mean episode reward: -141.67270925559097, time: 126.479
steps: 1449975, episodes: 58000, mean episode reward: -140.74131026139537, time: 126.579
steps: 1474975, episodes: 59000, mean episode reward: -139.7072947783775, time: 126.214
steps: 1499975, episodes: 60000, mean episode reward: -139.1683241132319, time: 126.171
...Finished total of 60001 episodes.
