Using good policy maddpg and adv policy maddpg
Uncertainty type is:  Action ; Uncertainty level is:  0.5
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -140.34262200082517, time: 73.059
steps: 49975, episodes: 2000, mean episode reward: -208.9999344188872, time: 87.249
steps: 74975, episodes: 3000, mean episode reward: -91.59143931088529, time: 90.0
steps: 99975, episodes: 4000, mean episode reward: -68.20494057796871, time: 91.431
steps: 124975, episodes: 5000, mean episode reward: -62.91694065680361, time: 93.047
steps: 149975, episodes: 6000, mean episode reward: -61.17135505702245, time: 93.297
steps: 174975, episodes: 7000, mean episode reward: -61.479027933087664, time: 93.153
steps: 199975, episodes: 8000, mean episode reward: -61.93801883505116, time: 93.747
steps: 224975, episodes: 9000, mean episode reward: -58.26377085345729, time: 93.503
steps: 249975, episodes: 10000, mean episode reward: -61.601299368415624, time: 93.653
steps: 274975, episodes: 11000, mean episode reward: -64.82038610741571, time: 94.146
steps: 299975, episodes: 12000, mean episode reward: -61.60673669172945, time: 93.295
steps: 324975, episodes: 13000, mean episode reward: -62.8686417925816, time: 94.029
steps: 349975, episodes: 14000, mean episode reward: -62.14736067692566, time: 93.92
steps: 374975, episodes: 15000, mean episode reward: -62.36368757943507, time: 93.07
steps: 399975, episodes: 16000, mean episode reward: -61.26296417490228, time: 92.958
steps: 424975, episodes: 17000, mean episode reward: -61.58810605436291, time: 93.842
steps: 449975, episodes: 18000, mean episode reward: -60.546212378668855, time: 93.998
steps: 474975, episodes: 19000, mean episode reward: -61.63150528289551, time: 93.284
steps: 499975, episodes: 20000, mean episode reward: -61.11885586540433, time: 93.467
steps: 524975, episodes: 21000, mean episode reward: -60.958472605269115, time: 93.511
steps: 549975, episodes: 22000, mean episode reward: -64.5174446507342, time: 93.943
steps: 574975, episodes: 23000, mean episode reward: -62.27823315481468, time: 94.813
steps: 599975, episodes: 24000, mean episode reward: -61.237444811118216, time: 93.902
steps: 624975, episodes: 25000, mean episode reward: -62.755187003858794, time: 93.304
steps: 649975, episodes: 26000, mean episode reward: -62.89118683239371, time: 93.063
steps: 674975, episodes: 27000, mean episode reward: -59.8256795878714, time: 93.06
steps: 699975, episodes: 28000, mean episode reward: -60.695012142108396, time: 93.47
steps: 724975, episodes: 29000, mean episode reward: -60.489060607440194, time: 93.926
steps: 749975, episodes: 30000, mean episode reward: -57.93584625035518, time: 92.821
steps: 774975, episodes: 31000, mean episode reward: -57.39365825424802, time: 92.753
steps: 799975, episodes: 32000, mean episode reward: -57.8386318631543, time: 93.207
steps: 824975, episodes: 33000, mean episode reward: -57.98784263499717, time: 93.415
steps: 849975, episodes: 34000, mean episode reward: -57.04138580176162, time: 94.091
steps: 874975, episodes: 35000, mean episode reward: -57.40913178810337, time: 93.554
steps: 899975, episodes: 36000, mean episode reward: -56.61361734318857, time: 93.415
steps: 924975, episodes: 37000, mean episode reward: -55.586012336283154, time: 93.762
steps: 949975, episodes: 38000, mean episode reward: -57.01821366441661, time: 82.414
steps: 974975, episodes: 39000, mean episode reward: -55.8224457089934, time: 79.707
steps: 999975, episodes: 40000, mean episode reward: -54.80178384778034, time: 79.883
steps: 1024975, episodes: 41000, mean episode reward: -55.443288247946064, time: 79.825
steps: 1049975, episodes: 42000, mean episode reward: -53.02385045100674, time: 77.963
steps: 1074975, episodes: 43000, mean episode reward: -52.4618717542353, time: 79.015
steps: 1099975, episodes: 44000, mean episode reward: -49.97719936300362, time: 74.18
steps: 1124975, episodes: 45000, mean episode reward: -48.90884209391283, time: 75.268
steps: 1149975, episodes: 46000, mean episode reward: -49.76337344980179, time: 73.529
steps: 1174975, episodes: 47000, mean episode reward: -48.52140524462983, time: 73.607
steps: 1199975, episodes: 48000, mean episode reward: -47.148951957601426, time: 76.502
steps: 1224975, episodes: 49000, mean episode reward: -48.19951894336508, time: 73.186
steps: 1249975, episodes: 50000, mean episode reward: -47.9453417539521, time: 72.742
steps: 1274975, episodes: 51000, mean episode reward: -43.96875283178822, time: 74.205
steps: 1299975, episodes: 52000, mean episode reward: -47.076539885991, time: 74.126
steps: 1324975, episodes: 53000, mean episode reward: -46.30285037954934, time: 75.426
steps: 1349975, episodes: 54000, mean episode reward: -45.435602052974325, time: 72.001
steps: 1374975, episodes: 55000, mean episode reward: -46.90609099460115, time: 72.736
steps: 1399975, episodes: 56000, mean episode reward: -47.45406472492055, time: 74.655
steps: 1424975, episodes: 57000, mean episode reward: -45.13125238726693, time: 74.332
steps: 1449975, episodes: 58000, mean episode reward: -43.69663435151261, time: 77.025
steps: 1474975, episodes: 59000, mean episode reward: -45.607476555779414, time: 78.279
steps: 1499975, episodes: 60000, mean episode reward: -44.862095521562836, time: 74.682
...Finished total of 60001 episodes.
