Using good policy maddpg and adv policy maddpg
Uncertainty type is:  Action ; Uncertainty level is:  2.0
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -208.24195004342164, time: 72.461
steps: 49975, episodes: 2000, mean episode reward: -473.6062247130741, time: 89.036
steps: 74975, episodes: 3000, mean episode reward: -259.711807695123, time: 89.754
steps: 99975, episodes: 4000, mean episode reward: -141.27871204957052, time: 92.165
steps: 124975, episodes: 5000, mean episode reward: -112.78417905727704, time: 92.396
steps: 149975, episodes: 6000, mean episode reward: -104.33164683964357, time: 90.428
steps: 174975, episodes: 7000, mean episode reward: -101.56229577852555, time: 91.989
steps: 199975, episodes: 8000, mean episode reward: -98.9394887227449, time: 91.992
steps: 224975, episodes: 9000, mean episode reward: -101.36416228841912, time: 90.981
steps: 249975, episodes: 10000, mean episode reward: -97.7385802616267, time: 93.858
steps: 274975, episodes: 11000, mean episode reward: -100.65603276728574, time: 94.925
steps: 299975, episodes: 12000, mean episode reward: -102.83924843785874, time: 93.581
steps: 324975, episodes: 13000, mean episode reward: -102.35598023893263, time: 92.141
steps: 349975, episodes: 14000, mean episode reward: -105.30768741276495, time: 92.841
steps: 374975, episodes: 15000, mean episode reward: -113.52045472600209, time: 95.23
steps: 399975, episodes: 16000, mean episode reward: -109.9798894626027, time: 96.295
steps: 424975, episodes: 17000, mean episode reward: -121.44836789276803, time: 95.981
steps: 449975, episodes: 18000, mean episode reward: -126.28413349097798, time: 96.102
steps: 474975, episodes: 19000, mean episode reward: -125.9861908014816, time: 95.926
steps: 499975, episodes: 20000, mean episode reward: -116.14319580015994, time: 96.155
steps: 524975, episodes: 21000, mean episode reward: -121.97204339563963, time: 95.743
steps: 549975, episodes: 22000, mean episode reward: -125.5400236384631, time: 96.094
steps: 574975, episodes: 23000, mean episode reward: -130.67856096402298, time: 96.157
steps: 599975, episodes: 24000, mean episode reward: -121.35123147413248, time: 95.688
steps: 624975, episodes: 25000, mean episode reward: -127.21288427192732, time: 95.6
steps: 649975, episodes: 26000, mean episode reward: -113.93606193129366, time: 95.764
steps: 674975, episodes: 27000, mean episode reward: -108.96217389875561, time: 96.02
steps: 699975, episodes: 28000, mean episode reward: -116.04723232783596, time: 95.179
steps: 724975, episodes: 29000, mean episode reward: -114.34786278965386, time: 96.792
steps: 749975, episodes: 30000, mean episode reward: -113.9280338673956, time: 95.905
steps: 774975, episodes: 31000, mean episode reward: -109.68438439184709, time: 95.735
steps: 799975, episodes: 32000, mean episode reward: -115.45530425430225, time: 95.62
steps: 824975, episodes: 33000, mean episode reward: -121.5113101730635, time: 95.816
steps: 849975, episodes: 34000, mean episode reward: -120.50607691657657, time: 95.298
steps: 874975, episodes: 35000, mean episode reward: -129.19509309736657, time: 95.125
steps: 899975, episodes: 36000, mean episode reward: -120.23396283307252, time: 95.565
steps: 924975, episodes: 37000, mean episode reward: -120.31597029892485, time: 96.527
steps: 949975, episodes: 38000, mean episode reward: -111.8994274886731, time: 95.594
steps: 974975, episodes: 39000, mean episode reward: -113.75527345760523, time: 95.661
steps: 999975, episodes: 40000, mean episode reward: -117.84195027094844, time: 94.826
steps: 1024975, episodes: 41000, mean episode reward: -110.02603669719575, time: 95.872
steps: 1049975, episodes: 42000, mean episode reward: -110.60473518077754, time: 95.947
steps: 1074975, episodes: 43000, mean episode reward: -105.30298531219765, time: 95.8
steps: 1099975, episodes: 44000, mean episode reward: -100.99472849319427, time: 95.76
steps: 1124975, episodes: 45000, mean episode reward: -97.25575328963747, time: 96.345
steps: 1149975, episodes: 46000, mean episode reward: -101.5542663316124, time: 97.14
steps: 1174975, episodes: 47000, mean episode reward: -95.81588006045291, time: 95.956
steps: 1199975, episodes: 48000, mean episode reward: -95.51756166378476, time: 95.818
steps: 1224975, episodes: 49000, mean episode reward: -93.50068100280323, time: 96.054
steps: 1249975, episodes: 50000, mean episode reward: -93.77374077787391, time: 96.513
steps: 1274975, episodes: 51000, mean episode reward: -92.75903771623877, time: 96.002
steps: 1299975, episodes: 52000, mean episode reward: -93.83758597549108, time: 96.91
steps: 1324975, episodes: 53000, mean episode reward: -89.0514976821509, time: 96.351
steps: 1349975, episodes: 54000, mean episode reward: -90.94848029910197, time: 96.349
steps: 1374975, episodes: 55000, mean episode reward: -87.21841110841028, time: 96.622
steps: 1399975, episodes: 56000, mean episode reward: -88.5947766528282, time: 95.991
steps: 1424975, episodes: 57000, mean episode reward: -84.85659051392926, time: 96.743
steps: 1449975, episodes: 58000, mean episode reward: -85.69534112216, time: 95.716
steps: 1474975, episodes: 59000, mean episode reward: -80.17122188077968, time: 95.946
steps: 1499975, episodes: 60000, mean episode reward: -84.44880050682632, time: 90.693
...Finished total of 60001 episodes.
